pid,utime,stime,priority,mem_usage,process_type
1408,0.736850432,0.924904448,0,7045120,False
1409,0.0,0.0,0,0,False
1410,0.0,0.0,0,0,False
1412,0.0,0.0,0,0,False
1414,0.0,0.0,0,0,False
1416,0.0,0.0,0,0,False
1417,0.0,0.0,0,0,False
1418,1.87181184,0.713470272,0,5292032,True
1420,0.0,0.0,0,0,False
1421,0.0,0.0,0,0,False
1422,0.0,0.0,0,0,False
1423,0.0,0.0,0,0,False
1425,0.063546292,0.014161833,0,0,True
1428,0.0,0.0,0,0,False
1429,0.114477664,0.106283664,0,2408448,True
1435,0.0,0.0,0,0,False
1496,1.056232512,0.766164416,0,9355264,True
1498,5.32621824,3.08580352,0,8306688,True
1507,862.352441344,397.133512704,0,6176768,True
1564,35.552256,12.06436352,0,26607616,True
1567,4.37773824,1.01629952,0,7602176,True
1568,0.837780736,0.519428736,0,11190272,True
1595,1.988540288,0.842315904,0,5931008,True
1596,0.0,0.0,0,0,False
1597,0.087780624,0.02396554,0,0,True
1603,0.0,0.0,0,0,False
1604,0.0,0.0,0,0,False
1605,0.0,0.0,0,0,False
1607,0.033770456,0.0364545,0,0,False
1608,4.990635008,0.385281216,0,5275648,True
1611,0.455931904,0.230967456,0,8192000,True
1612,0.0,0.0,0,0,False
1613,0.0,0.0,0,0,False
1614,0.0,0.0,0,0,False
1617,0.050551,0.049951292,0,671744,True
1618,0.548826752,0.40430528,0,7651328,True
1625,1.354364672,2.388918272,0,5275648,False
1633,5.334339072,2.923495168,0,6963200,True
1730,67.445481472,53.527687168,0,16318464,True
1731,0.25536296,0.236497504,0,2326528,True
1733,0.0,0.0,0,0,False
1735,0.0,0.0,0,0,False
1746,50.974203904,5.718984704,0,12419072,True
1752,1.271448192,2.529221632,0,4194304,False
1760,0.695277888,1.943712384,0,1966080,False
1858,0.0,0.0,0,0,False
1860,0.30453312,0.321524,0,2981888,False
1861,0.053814916,0.031098624,0,1556480,True
1862,0.0,0.0,0,0,False
1867,0.079607288,0.041401416,0,3997696,True
1921,0.959654336,0.157781376,0,4227072,True
1922,0.056392664,0.016174083,0,0,True
1923,0.052716124,0.054756,0,3227648,False
1924,0.058979584,0.054111332,0,3506176,True
1925,0.069915544,0.057270084,0,3145728,True
1926,0.043156208,0.044392792,0,3358720,False
1941,1022.914985984,676.400922624,0,27082752,True
1944,3.06441216,1.92848128,0,12615680,True
1945,0.17347496,0.126644248,0,3604480,True
1948,0.021307876,0.026080916,0,491520,False
1949,0.039554752,0.054469248,0,2686976,False
1957,0.019214624,0.009040916,0,327680,True
1958,0.018861124,0.00962875,0,327680,True
1960,0.0,0.0,0,0,False
1966,2.727934464,0.683387456,0,9240576,True
1967,0.017106124,0.007418041,0,327680,True
1968,0.017202292,0.008287916,0,327680,True
1969,0.536635008,0.325038528,0,5619712,True
1970,1.090884864,0.191562496,0,7929856,True
1989,38.83577344,10.253251584,0,45826048,True
1997,0.700565632,0.089958168,0,8224768,True
1998,0.09563608,0.11262396,0,8732672,False
2001,0.012904125,0.017877792,0,458752,False
2002,0.006716916,0.008376458,0,311296,False
2005,0.433850464,0.336608992,0,5079040,True
2023,0.0,0.0,0,0,False
2029,9.1163136,2.203535872,0,48840704,True
2030,0.047922292,0.0247845,0,1392640,True
2056,0.0402795,0.0115715,0,0,True
2057,0.907186432,0.942687552,0,0,False
2058,7.545251328,19.46714112,0,1605632,False
2084,0.24575992,0.281364544,0,1441792,False
2086,237.74748672,188.881502208,0,11681792,True
3075,0.186995712,0.083118288,0,14467072,True
3076,0.03382854,0.006142166,0,0,True
3138,0.0,0.0,0,0,False
3283,724.243775488,612.684726272,0,24576000,True
3285,0.04494754,0.016106333,0,0,True
3286,127.385116672,143.596879872,0,8372224,False
3287,187.056603136,256.208535552,0,12075008,False
3325,0.323233632,0.119407664,0,11239424,True
3326,0.594968576,0.308401824,0,18989056,True
3327,0.722863488,0.307204288,0,16072704,True
3330,0.042400168,0.011627833,0,0,True
3333,0.04393296,0.018592876,0,327680,True
3334,0.043467168,0.02007125,0,327680,True
3338,255.131205632,70.606266368,0,31113216,True
4161,0.0,0.0,0,0,False
4728,34.917687296,5.096344064,0,44236800,True
4747,0.0,0.0,0,0,False
4785,0.063753752,0.019076332,0,327680,True
4786,0.055691792,0.015613666,0,327680,True
7701,3.2386112,2.840414208,0,5095424,True
7706,0.0,0.0,0,0,False
7709,0.0,0.0,0,0,False
7710,0.0,0.0,0,0,False
7720,0.0,0.0,0,0,False
7721,0.0,0.0,0,0,False
7773,0.124901504,0.118911752,0,1327104,True
7780,0.178467424,0.143202544,0,6881280,True
7789,2.032291328,0.750834816,0,6094848,True
7792,0.0,0.0,0,0,False
7794,0.261696208,0.417313664,0,1867776,False
7796,27.149514752,60.543983616,0,3670016,False
7804,0.336965408,0.132515752,0,0,True
7806,0.41783168,0.24898792,0,0,True
7807,0.370195968,0.079869248,0,5046272,True
8038,0.01712075,0.021081708,0,1196032,False
8096,0.420211744,0.046513168,0,327680,True
8098,0.138680288,0.031579124,0,327680,True
8128,0.013524208,0.017643292,0,1851392,False
8339,0.018179916,0.028528832,0,3358720,False
8362,0.011457708,0.00901675,0,0,True
8363,0.744301824,0.275817216,0,5636096,True
8387,0.059578792,0.086954336,0,2572288,False
8951,0.082701456,0.066897292,0,6340608,True
9100,0.0,0.0,0,0,False
9101,0.0,0.0,0,0,False
9318,2.9462528,1.047278144,0,6291456,True
9320,0.0,0.0,0,0,False
9321,0.040664208,0.019642584,0,1032192,True
9332,1.933772288,0.731249984,0,8716288,True
9735,0.0,0.0,0,0,False
9736,0.080304624,0.093630584,0,4587520,False
9737,0.037069792,0.047411248,0,3031040,False
9742,0.0,0.0,0,0,False
9748,472.026939392,138.291871744,0,4685824,True
9749,12.864130048,34.926342144,0,770048,False
9966,0.0,0.0,0,0,False
9967,0.0,0.0,0,0,False
9997,0.287689248,0.17514688,0,1982464,True
10155,0.460933632,0.448697376,0,3506176,True
10434,0.0,0.0,0,0,False
10439,1.318623104,0.605634176,0,19546112,True
10448,0.039829084,0.054172208,0,1179648,False
10889,0.0,0.0,0,0,False
12077,0.0,0.0,0,0,False
12298,4.202687488,1.394639872,0,11943936,True
12333,0.0,0.0,0,0,False
12371,0.0,0.0,0,0,False
12372,0.0,0.0,0,0,False
12373,0.0,0.0,0,0,False
12374,0.0,0.0,0,0,False
12509,0.19273392,0.067716416,0,4849664,True
12515,0.391757152,0.338667552,0,10076160,True
12516,0.052301792,0.042143664,0,7012352,True
12517,0.07383396,0.045294876,0,5996544,True
